"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_name_eng","district_name_dari","district_name_pashto","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101104","Jamia Al Islam Madrassah","مدرسه جامعۀ الاسلام","مدرسه جامعۀ الاسلام","Pul e Sukhta","پل سوخته","پل سوخته"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101105","Wali Aser Jame Mosque","مسجد جامع ولی عصر","مسجد جامع ولی عصر","Markaz e Telegraph (Telegraph center)","مرکز تلگراف","مرکز تلگراف"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101106","Mohammad Asef Mael High School","ليسه محمد آصف مايل","ليسه محمد آصف مايل","Qalla e Nazer","قلعه ناظر","قلعه ناظر"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101107","Khatemul Anbya Madrassah","مدرسه خاتم الانبيا","مدرسه خاتم الانبيا","Qalla e Nazer","قلعه ناظر","قلعه ناظر"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101108","Gul Khana Secondary School","مکتب متوسطه گلخانه","مکتب متوسطه گلخانه","Deh Qabil village","قریه ده قابل","قریه ده قابل"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101109","Hazrat e Rasoul Mosque","مسجد حضرت رسول","مسجد حضرت رسول","Nawabad Qalla e Jabar Khan","نو آباد قلعه جبار خان","نو آباد قلعه جبار خان"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101110","Nabi Akram Mosque","مسجد نبی اکرم","مسجد نبی اکرم","Phase-III, Shahrak Hji Nabi","فازسوم شهرک حاجی نبی","فازسوم شهرک حاجی نبی"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101111","Qayem Aale Mohammad Mosque","مسجد قايم آل محمد","مسجد قايم آل محمد","Nawabad Qalla e Jabar Khan","نو آباد قلعه جبار خان","نو آباد قلعه جبار خان"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101112","Sarwar e Kainat Mosque","مسجد سرور کائنات","مسجد سرور کائنات","Qalla e Mohammad Hayat","قلعه محمد حيات","قلعه محمد حيات"
"01","KABUL","کابل","کابل","0101","Nahia 06","ناحیه 06","ناحیه 06","0101113","Chahar Qalla High School","ليسه چهار قلعه","ليسه چهار قلعه","Chahar Qalla","چهار قلعه","چهار قلعه"
