"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"14","1404","DARAYEM","درايم","1404","DARAYEM","درايم","NO"
"14","1405","KHASH","خاش","1405","KHASH","خاش","NO"
"14","1406","JURM","جرم","1406","JURM","جرم","NO"
"14","1407","WARDOUJ","وردوج","1407","WARDOUJ","وردوج","NO"
"14","1408","BAHARAK BADAKHSHAN","بھارک","1408","BAHARAK BADAKHSHAN","بھارک","NO"
"14","1409","SHUHADA","شھدا","1409","SHUHADA","شھدا","NO"
"14","1410","KOHISTAN BADAKHSHAN","کوھستان","1410","KOHISTAN BADAKHSHAN","کوھستان","NO"
"14","1411","YAWAN","ياوان","1411","YAWAN","ياوان","NO"
"14","1412","SHAHR-E-BUZURG","شھربزرگ","1412","SHAHR-E-BUZURG","شھربزرگ","NO"
"14","1413","KISHM","کشم","1413","KISHM","کشم","NO"
"14","1414","TAGAB KESHM BALA","تگاب","1414","TAGAB KESHM BALA","تگاب","NO"
"14","1415","TASHKAN","تشکان","1415","TASHKAN","تشکان","NO"
"14","1416","KARAN-O-MENJAN","کران و منجان","1416","KARAN-O-MENJAN","کران و منجان","NO"
"14","1417","ZEBAK","زيباک","1417","ZEBAK","زيباک","NO"
"14","1418","ESHKASHAM","اشکاشم","1418","ESHKASHAM","اشکاشم","NO"
"14","1419","WAKHAN","واخان","1419","WAKHAN","واخان","NO"
"14","1420","SHEGHNAN","شيغنان","1420","SHEGHNAN","شيغنان","NO"
"14","1421","ARGHANJ KHAWA","ارغنجخواه","1421","ARGHANJ KHAWA","ارغنجخواه","NO"
"14","1422","RAGHISTAN","راغستان","1422","RAGHISTAN","راغستان","NO"
"14","1423","KHWAHAN","خواھان","1423","KHWAHAN","خواھان","NO"
"14","1424","KOF AB","کوف آب","1424","KOF AB","کوف آب","NO"
"14","1425","YAMGAN GRIWAN","يمگان","1425","YAMGAN GRIWAN","يمگان","NO"
