"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","prelim_results_reporting","final_results_reporting","ps_planned_count","ps_prelim_reporting_count","ps_final_reporting_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101068","Altaqwa Private High School, Taimani.","ليسه خصوصی التقوی، تايمنی","YES","YES",7,7,7,5,2,0,3800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101069","tank til shahri now,khwaja abdulah ansari masque","تانک تيل شھر نو, مسجد خواجه عبدالله انصاري","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101070","abrasani,fazalbik sacandary school","آب رساني, مکتب متوسطه فضل بيک","YES","YES",11,11,11,7,4,0,6300,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101071","afshar,jaghoori haa masque","افشار, مسجد جاغوري ھا","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101072","afshar silo,sahib zaman maque","افشار سيلو, مسجد صاحب زمان","YES","YES",4,4,4,3,1,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101073","bazar company,qala kashif high school","بازار کمپني, ليسه قلعه کاشف","YES","YES",11,10,10,7,4,0,7200,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101074","Niswan Wahdat.","نسوان وحدت","YES","YES",12,12,12,8,4,0,6700,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101075","Imam Husain Masjid","مسجد امام حسين","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101076","now abad qargha,ayob sabir masque","نو آباد قرغه, مسجد ايوب صابر","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101077","politechnic,politechnic masque","پولي تخنيک, مسجد پولي تخنيک","YES","YES",9,9,9,6,3,0,5300,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101078","Zayed Bin Haris.","زياد بن حارث","YES","YES",7,7,2,1,0,6,3400,"ډير د کوچيانو محلات لری"
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101079","qala toofan,itafaq masque","قلعه طوفان, مسجد اتفاق","YES","YES",2,2,2,1,1,0,600,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101080","qala wahid,muhammadi paghmani haa masque","قلعه واحد, مسجد محمدي پغمانيھا","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101081","qargha,shah awleya masque","قرغه, مسجد شاه اوليا","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101082","qargha,deh araban school","قرغه, مکتب ده عربان","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101083","fazil bik,hazrat osman masque","قريه فضل بيک, مسجد حضرت عثمان","YES","YES",3,3,3,2,1,0,1500,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101084","Changed from Haji Yaqub to Masjid Haji Syed Rahman","از قريه نياز بيک, مسجد حاجي يعقوب به مسجد حاجی سيد رحمن تبديل شده است","YES","YES",4,4,4,0,1,3,2400,"ډير د کوچيانو محلات لری"
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101085","wardaki haa vilage,shaheed masque","قريه وردکيھا, مسجد شھيد","YES","YES",2,2,2,1,1,0,600,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101086","part(A)khoshal mina,afshar sacandary school","قسمت الف خوشحال مينه, مکتب متوسطه افشار","YES","YES",10,10,10,6,4,0,5800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES","0101087","part(A)khoshal mina,afshar girls high school","قسمت الف خوشحال مينه, ليسه نسوان افشار","YES","YES",11,11,11,7,4,0,6300,NA
