"province_code","pc_code","ps_code","ps_type","audit_or_recount","prelim_results_reporting","ps_invalidated","ps_open","commission_decision"
"09","0905159","0905159-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905159","0905159-07","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0905160","0905160-01","M","NO","NO",NA,NA,NA
"09","0905160","0905160-02","M","NO","NO",NA,NA,NA
"09","0905160","0905160-03","F","NO","NO",NA,NA,NA
"09","0905161","0905161-01","M","NO","NO",NA,NA,NA
"09","0905161","0905161-02","M","NO","NO",NA,NA,NA
"09","0905161","0905161-03","M","NO","NO",NA,NA,NA
"09","0905161","0905161-04","F","NO","NO",NA,NA,NA
"09","0905161","0905161-05","F","NO","NO",NA,NA,NA
"09","0907173","0907173-02","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0907179","0907179-06","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0908183","0908183-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0908192","0908192-01","M","NO","NO",NA,NA,NA
"09","0908192","0908192-02","M","NO","NO",NA,NA,NA
"09","0908192","0908192-03","M","NO","NO",NA,NA,NA
"09","0908192","0908192-04","F","NO","NO",NA,NA,NA
"09","0908192","0908192-05","F","NO","NO",NA,NA,NA
"09","0909194","0909194-01","M","NO","NO",NA,NA,NA
"09","0909194","0909194-02","M","NO","NO",NA,NA,NA
"09","0909194","0909194-03","M","NO","NO",NA,NA,NA
"09","0909194","0909194-04","M","NO","NO",NA,NA,NA
"09","0909194","0909194-05","F","NO","NO",NA,NA,NA
"09","0909194","0909194-06","F","NO","NO",NA,NA,NA
"09","0909194","0909194-07","F","NO","NO",NA,NA,NA
"09","0909194","0909194-08","F","NO","NO",NA,NA,NA
"09","0909195","0909195-01","M","NO","NO",NA,NA,NA
"09","0909195","0909195-02","M","NO","NO",NA,NA,NA
"09","0909195","0909195-03","M","NO","NO",NA,NA,NA
"09","0909195","0909195-04","M","NO","NO",NA,NA,NA
"09","0909195","0909195-05","M","NO","NO",NA,NA,NA
"09","0909195","0909195-06","M","NO","NO",NA,NA,NA
"09","0909195","0909195-07","F","NO","NO",NA,NA,NA
"09","0909195","0909195-08","F","NO","NO",NA,NA,NA
"09","0909195","0909195-09","F","NO","NO",NA,NA,NA
"09","0909195","0909195-10","F","NO","NO",NA,NA,NA
"09","0909195","0909195-11","F","NO","NO",NA,NA,NA
"09","0909196","0909196-01","M","NO","NO",NA,NA,NA
"09","0909196","0909196-02","M","NO","NO",NA,NA,NA
"09","0909196","0909196-03","M","NO","NO",NA,NA,NA
"09","0909196","0909196-04","M","NO","NO",NA,NA,NA
"09","0909196","0909196-05","M","NO","NO",NA,NA,NA
"09","0909196","0909196-06","M","NO","NO",NA,NA,NA
"09","0909196","0909196-07","F","NO","NO",NA,NA,NA
"09","0909196","0909196-08","F","NO","NO",NA,NA,NA
"09","0909197","0909197-01","M","NO","NO",NA,NA,NA
"09","0909197","0909197-02","M","NO","NO",NA,NA,NA
"09","0909197","0909197-03","M","NO","NO",NA,NA,NA
"09","0909197","0909197-04","M","NO","NO",NA,NA,NA
"09","0909197","0909197-05","M","NO","NO",NA,NA,NA
"09","0909197","0909197-06","F","NO","NO",NA,NA,NA
"09","0909197","0909197-07","F","NO","NO",NA,NA,NA
"09","0909197","0909197-08","F","NO","NO",NA,NA,NA
"09","0909197","0909197-09","F","NO","NO",NA,NA,NA
"09","0909197","0909197-10","F","NO","NO",NA,NA,NA
"09","0909197","0909197-11","F","NO","NO",NA,NA,NA
"09","0909200","0909200-04","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0909201","0909201-01","M","NO","NO",NA,NA,NA
"09","0909201","0909201-02","M","NO","NO",NA,NA,NA
"09","0909201","0909201-03","M","NO","NO",NA,NA,NA
"09","0909201","0909201-04","F","NO","NO",NA,NA,NA
"09","0909201","0909201-05","F","NO","NO",NA,NA,NA
"09","0909201","0909201-06","F","NO","NO",NA,NA,NA
"09","0909202","0909202-03","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0910205","0910205-11","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0910205","0910205-12","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0910205","0910205-13","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0910205","0910205-14","F","YES","NO","NO",NA,"Decision 105 Paragraph 1"
"09","0910207","0910207-01","M","NO","NO",NA,NA,NA
"09","0910207","0910207-02","M","NO","NO",NA,NA,NA
"09","0910207","0910207-03","M","NO","NO",NA,NA,NA
"09","0910207","0910207-04","M","NO","NO",NA,NA,NA
"09","0910207","0910207-05","M","NO","NO",NA,NA,NA
"09","0910207","0910207-06","F","NO","NO",NA,NA,NA
"09","0910207","0910207-07","F","NO","NO",NA,NA,NA
"09","0910207","0910207-08","F","NO","NO",NA,NA,NA
