"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",84,30,0,114
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-07","KABUL NAHIA 07","کابل ناحيه 07","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",96,23,0,119
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-08","KABUL NAHIA 08","کابل ناحيه 08","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",126,30,1,157
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-09","KABUL NAHIA 09","کابل ناحيه 09","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",201,87,0,288
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-10","KABUL NAHIA 10","کابل ناحيه 10","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",74,39,0,113
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-11","KABUL NAHIA 11","کابل ناحيه 11","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",96,37,0,133
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-12","KABUL NAHIA 12","کابل ناحيه 12","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",46,18,0,64
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-13","KABUL NAHIA 13","کابل ناحيه 13","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",18,11,0,29
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-14","KABUL NAHIA 14","کابل ناحيه 14","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",2,0,0,2
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-15","KABUL NAHIA 15","کابل ناحيه 15","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",106,27,0,133
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-16","KABUL NAHIA 16","کابل ناحيه 16","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",70,41,0,111
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-17","KABUL NAHIA 17","کابل ناحيه 17","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",19,4,0,23
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-18","KABUL NAHIA 18","کابل ناحيه 18","YES",6350379,5,"Dr. Habib Mangal","داکتر حبيب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",1,0,0,1
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101","KABUL","کابل","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",0,0,0,0
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-01","KABUL NAHIA 01","کابل ناحيه 01","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",2,0,0,2
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",1,0,0,1
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",8,0,0,8
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",4,3,0,7
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",9,5,0,14
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",4,14,0,18
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-07","KABUL NAHIA 07","کابل ناحيه 07","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",7,2,0,9
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-08","KABUL NAHIA 08","کابل ناحيه 08","YES",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبيح الله غازی نورستانی","M","مستقل","NO","NO",8,2,0,10
