"province_code","2012_AGCHO_district_code","province_name_eng","district_name_eng","AGI","AGR","AGT","AGV","BRS","BSD","NFS","NHS","SNW","URB","WAT","fao_total","calculated_total","difference","check","pct_urban","pct_irrigated"
"15","1504","BADAKHSHAN","Arghanj Khwa",244,4591,56,0,0,0,78,67174,0,32,911,73087,73086,-1,"ERROR",0.000437840352461484,0.00333853268751881
"15","1505","BADAKHSHAN","Kohestan",17,15603,38,0,0,0,0,33300,0,74,190,49222,49222,0,"OK",0.00150339279184105,0.000345374019747267
"15","1506","BADAKHSHAN","Raghestan",452,24971,44,0,700,0,910,99475,1194,110,1883,129739,129739,0,"OK",0.000847856080284263,0.00348391771171352
"15","1507","BADAKHSHAN","Yawan",61,10075,234,0,4,0,1664,31138,0,175,839,44190,44190,0,"OK",0.0039601719846119,0.00138040280606472
"15","1508","BADAKHSHAN","Shahr-e-Buzorg",344,20581,240,0,1451,0,359,73473,0,173,1116,97738,97737,-1,"ERROR",0.00177005637578399,0.00351964967207915
"15","1509","BADAKHSHAN","Teshkan",156,14741,337,0,1231,0,4564,62715,0,176,379,84300,84299,-1,"ERROR",0.00208780649829773,0.0018505557598548
"15","1510","BADAKHSHAN","Darayem",1995,23794,172,0,7,0,3,29155,4,330,595,56057,56055,-2,"ERROR",0.00588707519400589,0.0355900454910356
"15","1511","BADAKHSHAN","Khash",2076,4290,56,0,1,0,0,18785,0,98,214,25519,25520,1,"ERROR",0.00384012539184953,0.0813479623824451
"15","1512","BADAKHSHAN","Baharak",5770,2755,591,0,440,0,594,21486,0,144,572,32352,32352,0,"OK",0.00445103857566766,0.178350642927794
"15","1513","BADAKHSHAN","Shuhada",2354,5490,975,0,8208,0,2448,130948,2785,86,2467,155761,155761,0,"OK",0.000552127939599771,0.0151128973234635
"15","1514","BADAKHSHAN","Shighnan",3976,2984,670,0,22464,79,62,293790,21971,80,6823,352899,352899,0,"OK",0.000226693756570577,0.0112666797015577
"15","1515","BADAKHSHAN","Darwaz-e-Balla",2319,2458,783,0,6736,0,169,102662,17337,44,1134,133641,133642,1,"ERROR",0.000329237814459526,0.0173523293575373
"15","1516","BADAKHSHAN","Kof Ab",810,4911,234,0,4539,0,369,117312,8131,33,5499,141838,141838,0,"OK",0.000232659794977369,0.00571074042217177
