"election_date","results_date","election_type","results_status","province_code","province_name_eng","ballot_position","candidate_name_eng","party_name_eng_transliterated","candidate_gender","final_winner","votes"
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",1,"Abdul Latif Pedram","Hezb-e-Congra-e-Mili Afghanistan","M","NO",1756
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",2,"Hamid Karzai","Independent","M","YES",57279
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",3,"Hamayon Shah Asifi","Independent","M","NO",910
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",879
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",5,"Haji Mohammad Mohaqiq","Independent","M","NO",40063
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",950
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",7,"Abdul Satar Serat","Independent","M","NO",2705
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",8,"Abdul Hafiz Mansoor","Independent","M","NO",823
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",282
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",10,"Ahmad Shah Ahmadzai","Independent","M","NO",944
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",11,"Abdul Hasseb Aryan","Independent","M","NO",314
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",12,"Wakil Mangal","Independent","M","NO",372
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",13,"Abdul Hadi Khalilzai","Independent","M","NO",435
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",14,"Mohammad Ebrahim Rashid","Independent","M","NO",1276
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",15,"Yonous Qanooni","Hezb-e-Nuhzhat-e-Mili Afghanistan","M","NO",94409
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",16,"Massooda Jalal","Independent","F","NO",2082
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",17,"Syed Abdul Hadi Dabir","Independent","M","NO",462
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","10","Ghor",18,"Abdul Rashid Dostum","Independent","M","NO",426
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",1,"Abdul Latif Pedram","Hezb-e-Congra-e-Mili Afghanistan","M","NO",938
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",2,"Hamid Karzai","Independent","M","YES",262940
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",3,"Hamayon Shah Asifi","Independent","M","NO",684
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",302
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",5,"Haji Mohammad Mohaqiq","Independent","M","NO",8787
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",2587
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",7,"Abdul Satar Serat","Independent","M","NO",574
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",8,"Abdul Hafiz Mansoor","Independent","M","NO",411
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",167
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",10,"Ahmad Shah Ahmadzai","Independent","M","NO",1885
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","11","Helmand",11,"Abdul Hasseb Aryan","Independent","M","NO",99
