pc_code,candidate_name_eng,ps_number_1,ps_number_2,ps_number_3,ps_number_4,ps_number_5,ps_number_6,ps_number_7,ps_number_8,ps_number_9,ps_number_10,ps_count
1601041,Sayed Jalal Karim,0,1,0,,,,,,,,3
1601041,Mirwais Yasini,0,1,0,,,,,,,,3
1601041,Bismillah Shir,0,0,0,,,,,,,,3
1601041,Bashir Ahmad Bizhan,0,0,0,,,,,,,,3
1601041,Motasim Billah Mazhabi,1,1,0,,,,,,,,3
1601041,Ashraf Ghani Ahmadzai,2,1,0,,,,,,,,3
1601041,Abdul Latif Pedram,0,0,0,,,,,,,,3
1601041,Shahnawaz Tanai,0,0,0,,,,,,,,3
1601041,Mulla Abdul Salam Rakity,1,2,0,,,,,,,,3
1601041,Zia‐ul‐haq Hafizi,0,1,0,,,,,,,,3
1601041,Mohammad Akbar Oria,1,0,0,,,,,,,,3
