"pc_code_18","2018_IEC_district_code","pc_name_eng_18","pc_name_dari_18","assessment_status","planned_2018","2019_matched_to_2014_IEC_district_code","matched_by"
"0304078","0304","Gul Aqa Shaheed High School","مکتب لیسه گل آقا شهید","New","YES","0304",NA
"0304083","0304","Ma'azuddin Khil Clinic","کلینیک معازالدین خیل","New","YES","0304",NA
"0304085","0304","Lalah Khil Secondary School","مکتب متوسطه لاله خیل","New","YES","0304",NA
"0305087","0305","Mawlana Jalaluddin Mohammad Balkhi Girls Primary *","مکتب ابتدائیه نسوان مولانا جلال الدین محمد بلخی","New","YES","0305",NA
"0305089","0305","Faqeer Haider Gulbahar High School","لیسه فقیر حیدر گلبهار","Relocated","YES","0305",NA
"0305091","0305","Nawya Mosque","مسجد ناویا","New","YES","0305",NA
"0305093","0305","Gulbahar Darul Hefaz","دارالحفاظ گلبهار","Relocated","YES","0305",NA
"0305095","0305","Ishq Abad Girls High School","لیسه  نسوان عشق آباد","Relocated","YES","0305",NA
"0305096","0305","Guzar e Payan Girls High School","لیسه نسوان گزر پایان","New","YES","0305",NA
"0305098","0305","Habib Khil Mosque","مسجد حبیب خیل","Relocated","YES","0305",NA
"0306104","0306","Eng. Mohammad Gul Shaheed Secondary School","مکتب متوسطه انجینر محمد گل شهید","Old","YES","0306",NA
"0306106","0306","Haji Abdul Karim Secondary School","مکتب متوسطه حاجی عبدالحکیم","Old","YES","0306",NA
"0306107","0306","Takhma High School","لیسه تاخمه","Old","YES","0306",NA
"0306109","0306","Hunroh e Bala Secondary School","متوسط هنروه بالا","New","YES","0306",NA
"0306110","0306","Ghulam Nabi Shaheed High School","لیسه غلام نبی شهید","Relocated","YES","0306",NA
"0306111","0306","Wewa Secondary School","مکتب متوسطه ویوا","Old","YES","0306",NA
"0306112","0306","Do Aab High School","لیسه دوآب","New","YES","0306",NA
"0306114","0306","Aahangaran High School","لیسه آهنگران","Old","YES","0306",NA
"0306115","0306","Salah Khan Secondary School","مکتب متوسطه صلاح خان","New","YES","0306",NA
"0306116","0306","Awrti High School","لیسه اورتی","New","YES","0306",NA
"0307117","0307","Sar Darah Secondary School","مکتب متوسطه سردره","Not Assessed","NO","0307",NA
"0307120","0307","Wazghar School","مکتب وازغر","Not Assessed","NO","0307",NA
"0307121","0307","Darah e Tank e Malakhi Secondary School","مکتب متوسطه دره تانک ملاخی","Not Assessed","NO","0307",NA
"0307122","0307","Qamchaq High School","لیسه قمچاق","Not Assessed","NO","0307",NA
"0307123","0307","Dashtak Rangaab School","مکتب دشتک رنگاب","Not Assessed","NO","0307",NA
"0307124","0307","Joi Dukhtar School","مکتب جوی دختر","Not Assessed","NO","0307",NA
"0307125","0307","Darah e Sayadan High School","لیسه دره سیادان","Not Assessed","NO","0307",NA
"0307128","0307","Makar Khil Girls School","مکتب نسوان مکرخیل","Not Assessed","NO","0307",NA
"0307130","0307","Tahi Khan School","مکتب تاهی خان","Not Assessed","NO","0307",NA
"0307131","0307","Yakh Darah School","مکتب یخ دره","Not Assessed","NO","0307",NA
"0307132","0307","Kana Khil School","مکتب کانه خیل","Not Assessed","NO","0307",NA
"0307133","0307","Shahi Khil School","مکتب شاهی خیل","Not Assessed","NO","0307",NA
"0307171","0307","Siagerd Female High School","لیسه اناث سیاه گرد",NA,"YES","0307",NA
"0308134","0308","Kandwan School","مکتب کندوان","Not Assessed","NO","0308",NA
"0308135","0308","Angor Darah School","مکتب انگور دره","Relocated","YES","0308",NA
"0308137","0308","Syah Sang Secondary School","مکتب متوسطه سیاه سنگ","Relocated","YES","0308",NA
"0308138","0308","Iskandariah Boys High School","لیسه ذکور اسکندریه","New","YES","0308",NA
"0308140","0308","Treli Girls School","نسوان تریلی","New","YES","0308",NA
"0308144","0308","Jawzak Mosque","مکتب جوزک","Not Assessed","NO","0308",NA
"0309148","0309","Shaheed Amirzadah Madrassah","مدرسه شهید امیرزاده","New","YES","0309",NA
"0309149","0309","Khwaja Parsa School","مکتب خواجه پارساه","Relocated","YES","0309",NA
"0309150","0309","Lawlanj Bazzar Girls High School","لیسه نسوان بازار لولنج","Old","YES","0309",NA
"0309152","0309","Payurki School","مکتب پایورکی","New","YES","0309",NA
"0309158","0309","Dahan e Khakrez Boys High School","لیسه ذکور دهن خاکریز","Old","YES","0309",NA
"0310162","0310","Ali Akbar Shaheed High School","لیسه عالی اکبر شهید","Old","YES","0310",NA
"0310164","0310","Mir Khushal Wali Jame Mosque","مسجد جامع میر خوشحال ولی","New","YES","0310",NA
"0310167","0310","Darah e Jarf Girls Secondary School","مکتب متوسطه نسوان دره جرف","New","YES","0310",NA
"0401001","0401","Awal Baba School","مکتب اول بابا","Relocated","YES","0401",NA
"0401003","0401","Naser Abad School","مکتب ناصراباد","New","YES","0401",NA
"0402014","0402","Been Badam High School","لیسه عالی بین بادام","Relocated","YES","0402",NA
"0402015","0402","Andar Mosque","مسجد اندر","Relocated","YES","0402",NA
