"province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_name_pashto","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","district_or_subdivision_name_pashto","provincial_capital","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto","planned_2018","prelim_ps_count","final_ps_count","prelim_results_reporting","final_results_reporting","pc_change_initial_final_plan","assessment_status","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101046","Sufi Islam School","مکتب صوفی اسلام","مکتب صوفی اسلام","Estgah e Aakhir Puhantoon","ایستگاه آخر  پوهنتون","ایستگاه آخر  پوهنتون","YES",9,12,"YES","YES","no change","Old",5562,196,49,0,29,0,0,58,60,5358,3455,1903,8,0,3459,1907,5366
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101047","Mahmood Hotaki High School","لیسه محمود هوتکی","لیسه محمود هوتکی","Deh bori","ده بوری","ده بوری","YES",9,12,"YES","YES","no change","Old",5254,250,28,0,25,0,0,130,67,4987,4146,841,17,0,4163,841,5004
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101048","Ghazi Mohammad Ayub School no.1","مکتب نمبر ۱ غازی محمد ایوب","مکتب نمبر ۱ غازی محمد ایوب","Bagh e Bala","باغ بالا","باغ بالا","YES",5,3,"YES","YES","no change","Old",2206,72,10,0,19,0,0,29,14,2005,1303,702,9,120,1393,741,2134
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101049","Raabia High School","ليسه رابيا","ليسه رابيا","Kart e Parwan","کارته پروان","کارته پروان","YES",7,7,"YES","YES","no change","Old",3240,56,6,0,15,0,0,24,11,3170,1907,1263,13,1,1918,1266,3184
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101050","Haji Ghulam Dastagir Mosque","مسجد حاجي غلام دستگير","مسجد حاجي غلام دستگير","Shahr Aara","شهرارا","شهرارا","YES",4,6,"YES","YES","no change","Old",2376,49,7,0,6,0,0,31,5,2325,1732,593,2,0,1734,593,2327
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101051","Imam Reza e Ghareeb Mosque","مسجد امام رضاي غريب","مسجد امام رضاي غريب","Kolola Pushta","کلوله پشته","کلوله پشته","YES",3,4,"YES","YES","no change","Old",1374,48,21,0,5,0,0,5,17,1321,803,518,5,0,805,521,1326
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101052","Mohammad Alam Faizzad High School","لیسه محمد اعلم فیض زاد","لیسه محمد اعلم فیض زاد","Shahr Aara","شهر آرا","شهر آرا","YES",4,4,"YES","YES","no change","Old",2070,45,19,0,5,0,0,14,7,2023,1447,576,2,0,1449,576,2025
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101053","Jamhoriat High School","لیسه جمهویت","لیسه جمهویت","Salang Watt","سالنگ وات","سالنگ وات","YES",3,4,"YES","YES","no change","Old",906,27,13,0,3,0,0,3,8,878,656,222,1,0,657,222,879
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101054","Malalai Girls High School","لیسه نسوان ملالی","لیسه نسوان ملالی","Char Rahi Sedarat (Sedarat Square)","چهاراهی صدارت","چهاراهی صدارت","YES",4,2,"YES","YES","no change","Old",1974,51,8,0,17,0,0,14,12,1920,1626,294,2,1,1628,295,1923
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-04","KABUL CITY NAHIA 04","كابل ناحیه 04","كابل ناحیه 04","YES","0101055","Khwaja Abdullah Ansari Mosque","مسجد خواجه عبدالله انصاري","مسجد خواجه عبدالله انصاري","Shahr e Naw Petrol pump","تانک تيل شهر نو","تانک تيل شهر نو","YES",3,0,"YES","NO","no change","Old",954,41,10,0,6,0,0,22,3,910,797,113,3,0,800,113,913
